streamer_id,product_id,date,price,discount_rate,views,conversion_rate,cost_per_unit,shelf_life_days,holiday_flag,quantity_sold,CCE
S22,P004,2024-08-05 19:00:00,15.06,0.28,59054,0.0193,7.15,130,0,1139,1.0477
S12,P001,2024-08-05 20:00:00,22.4,0.16,98465,0.0172,5.5,154,0,1693,0.9763
S1,P013,2024-08-05 21:00:00,19.78,0.27,83216,0.0194,8.98,47,0,1614,1.0864
S16,P010,2024-08-05 22:00:00,28.66,0.08,49512,0.0431,4.29,128,0,2133,2.317
S22,P012,2024-08-05 23:00:00,21.17,0.12,117896,0.0076,6.91,150,0,896,0.4312
S15,P004,2024-08-06 00:00:00,17.39,0.22,97159,0.0232,7.74,17,0,2254,1.3197
S9,P007,2024-08-06 01:00:00,19.49,0.34,104042,0.0071,10.47,72,1,738,0.3976
S6,P014,2024-08-06 02:00:00,28.36,0.06,26323,0.0037,4.88,121,0,97,0.1758
S9,P005,2024-08-06 03:00:00,24.72,0.31,59193,0.0074,6.93,175,0,438,0.3941
S12,P010,2024-08-06 04:00:00,18.2,0.31,89597,0.0237,5.84,63,0,2123,1.3388
S10,P010,2024-08-06 05:00:00,17.64,0.3,101338,0.0382,7.24,88,0,3871,2.189
S12,P003,2024-08-06 06:00:00,28.21,0.14,16434,0.0041,7.69,163,0,67,0.1865
S12,P005,2024-08-06 07:00:00,14.88,0.26,46629,0.0266,6.86,79,1,1240,1.4172
S14,P011,2024-08-06 08:00:00,11.93,0.14,106583,0.0244,7.98,106,1,2600,1.3999
S19,P015,2024-08-06 09:00:00,25.97,0.32,81922,0.036,10.16,20,0,2949,2.0239
S8,P007,2024-08-06 10:00:00,8.88,0.06,26373,0.0291,8.68,170,1,767,1.4687
S12,P015,2024-08-06 11:00:00,24.81,0.29,37075,0.0388,4.53,91,0,1438,2.0285
S10,P010,2024-08-06 12:00:00,6.36,0.11,111476,0.029,9.88,160,0,3232,1.6726
S18,P004,2024-08-06 13:00:00,27.84,0.33,54708,0.0246,3.75,167,1,1345,1.3294
S20,P006,2024-08-06 14:00:00,21.54,0.17,110677,0.0311,8.11,168,0,3442,1.7935
S12,P012,2024-08-06 15:00:00,12.35,0.16,105391,0.0076,6.76,138,0,800,0.427
S7,P010,2024-08-06 16:00:00,23.43,0.12,81620,0.0066,3.66,123,0,538,0.3607
S5,P007,2024-08-06 17:00:00,11.19,0.23,11118,0.0108,4.64,56,0,120,0.4906
S7,P001,2024-08-06 18:00:00,20.72,0.19,14201,0.0292,7.83,91,0,414,1.3834
S9,P001,2024-08-06 19:00:00,7.49,0.26,25183,0.0096,7.46,122,0,241,0.4739
S20,P009,2024-08-06 20:00:00,8.79,0.28,13366,0.0119,3.71,114,0,159,0.5528
S25,P008,2024-08-06 21:00:00,7.43,0.08,35063,0.0437,8.07,174,0,1532,2.2741
S22,P008,2024-08-06 22:00:00,11.95,0.26,85350,0.0305,5.24,91,0,2603,1.7191
S14,P005,2024-08-06 23:00:00,24.74,0.3,35658,0.0156,8.35,165,0,556,0.8051
S11,P012,2024-08-07 00:00:00,11.84,0.24,55165,0.0056,7.09,126,0,308,0.2932
S23,P011,2024-08-07 01:00:00,24.0,0.26,73616,0.0302,4.65,117,0,2223,1.6797
S11,P007,2024-08-07 02:00:00,14.67,0.31,73034,0.0296,3.77,103,0,2161,1.6449
S20,P004,2024-08-07 03:00:00,9.49,0.12,71170,0.0239,7.35,55,1,1700,1.3227
S23,P006,2024-08-07 04:00:00,18.56,0.23,107807,0.0271,5.92,36,0,2921,1.5577
S2,P008,2024-08-07 05:00:00,16.37,0.21,52341,0.0152,8.92,142,0,795,0.8133
S14,P003,2024-08-07 06:00:00,7.89,0.13,90612,0.0221,8.06,97,0,2002,1.2488
S8,P003,2024-08-07 07:00:00,29.52,0.16,34572,0.0301,10.33,145,0,1040,1.5603
S5,P008,2024-08-07 08:00:00,6.28,0.2,37571,0.0219,5.12,59,1,822,1.141
S7,P001,2024-08-07 09:00:00,23.32,0.13,87041,0.0172,10.38,156,0,1497,0.9657
S8,P012,2024-08-07 10:00:00,12.15,0.14,36598,0.0035,5.89,30,0,128,0.1714
S6,P008,2024-08-07 11:00:00,25.78,0.22,71192,0.0095,10.22,114,0,676,0.5182
S25,P010,2024-08-07 12:00:00,26.03,0.21,48775,0.0318,4.8,173,0,1551,1.7039
S22,P009,2024-08-07 13:00:00,29.57,0.13,115447,0.0158,9.67,56,0,1824,0.9084
S8,P013,2024-08-07 14:00:00,21.93,0.17,70201,0.0368,10.37,152,1,2583,2.0408
S9,P013,2024-08-07 15:00:00,19.85,0.1,86328,0.042,5.92,28,0,3625,2.3743
S16,P015,2024-08-07 16:00:00,23.38,0.21,26255,0.0046,3.61,142,0,120,0.2215
S14,P011,2024-08-07 17:00:00,8.96,0.14,55980,0.0086,9.76,140,0,481,0.4576
S3,P014,2024-08-07 18:00:00,23.76,0.21,62804,0.0359,7.1,75,1,2254,1.9706
S23,P012,2024-08-07 19:00:00,12.73,0.12,75649,0.0246,7.69,93,0,1860,1.3693
S5,P003,2024-08-07 20:00:00,27.95,0.33,41478,0.0384,10.5,94,0,1592,2.029
S14,P003,2024-08-07 21:00:00,20.25,0.27,46050,0.0325,4.78,55,0,1496,1.7323
S4,P014,2024-08-07 22:00:00,29.21,0.3,111868,0.023,8.89,112,0,2572,1.3244
S15,P002,2024-08-07 23:00:00,28.43,0.24,41977,0.0194,8.83,157,0,814,1.0201
S23,P007,2024-08-08 00:00:00,23.8,0.18,114239,0.0386,7.09,66,0,4409,2.2352
S13,P005,2024-08-08 01:00:00,9.65,0.14,106662,0.0204,3.88,136,0,2175,1.1684
S4,P009,2024-08-08 02:00:00,14.28,0.09,111094,0.0069,6.54,85,0,766,0.3883
S17,P002,2024-08-08 03:00:00,12.12,0.17,58313,0.0055,9.6,55,0,320,0.2893
S21,P001,2024-08-08 04:00:00,26.43,0.34,14388,0.0138,8.35,104,0,198,0.6481
S5,P004,2024-08-08 05:00:00,13.87,0.29,36422,0.0239,7.66,95,0,870,1.2426
S13,P007,2024-08-08 06:00:00,27.06,0.28,25561,0.0108,4.01,31,0,276,0.5355
S7,P013,2024-08-08 07:00:00,25.87,0.13,45533,0.0283,6.53,122,0,1288,1.5053
S5,P011,2024-08-08 08:00:00,11.11,0.13,74370,0.0297,3.68,116,0,2208,1.6532
S10,P010,2024-08-08 09:00:00,10.95,0.18,50582,0.0405,9.34,138,1,2048,2.1808
S5,P002,2024-08-08 10:00:00,10.53,0.17,68198,0.0381,9.28,144,0,2598,2.1078
S12,P002,2024-08-08 11:00:00,6.43,0.09,48728,0.0139,4.64,23,0,677,0.7377
S14,P005,2024-08-08 12:00:00,6.6,0.29,84702,0.0038,8.17,63,0,321,0.2031
S24,P003,2024-08-08 13:00:00,11.58,0.15,72547,0.0164,6.0,122,0,1189,0.9052
S24,P010,2024-08-08 14:00:00,21.0,0.08,69555,0.0142,9.62,17,1,987,0.7791
S11,P014,2024-08-08 15:00:00,8.54,0.15,21889,0.0434,4.71,21,0,949,2.1561
S10,P001,2024-08-08 16:00:00,11.38,0.32,109983,0.0086,4.29,45,0,945,0.4866
S25,P014,2024-08-08 17:00:00,20.56,0.18,111435,0.028,7.8,82,0,3120,1.6145
S9,P013,2024-08-08 18:00:00,11.39,0.34,76483,0.0365,7.91,179,0,2791,2.0397
S21,P011,2024-08-08 19:00:00,27.23,0.31,99076,0.0244,4.37,169,0,2417,1.3909
S14,P010,2024-08-08 20:00:00,26.54,0.22,67539,0.0208,9.28,139,0,1404,1.144
S24,P015,2024-08-08 21:00:00,12.77,0.24,38479,0.0278,6.47,56,1,1069,1.455
S22,P005,2024-08-08 22:00:00,25.4,0.16,31704,0.0269,3.96,163,0,852,1.3815
S4,P015,2024-08-08 23:00:00,17.9,0.17,60039,0.0114,10.21,42,0,684,0.6147
S16,P011,2024-08-09 00:00:00,29.8,0.18,87614,0.0217,9.22,101,0,1901,1.2223
S6,P014,2024-08-09 01:00:00,28.66,0.3,55645,0.007,5.73,153,0,389,0.3699
S21,P002,2024-08-09 02:00:00,18.33,0.08,77027,0.0317,3.5,53,0,2441,1.7709
S25,P006,2024-08-09 03:00:00,11.31,0.15,34418,0.0143,7.21,59,0,492,0.7344
S9,P013,2024-08-09 04:00:00,21.89,0.24,69183,0.0053,4.04,96,0,366,0.2828
S14,P003,2024-08-09 05:00:00,10.36,0.22,91685,0.0282,9.82,35,0,2585,1.5986
S9,P008,2024-08-09 06:00:00,27.09,0.3,99335,0.0063,8.88,80,0,625,0.3499
S3,P011,2024-08-09 07:00:00,17.0,0.08,99568,0.0215,7.01,54,0,2140,1.2247
S15,P014,2024-08-09 08:00:00,26.39,0.15,26455,0.016,7.71,82,0,423,0.8022
S3,P009,2024-08-09 09:00:00,6.52,0.18,39816,0.043,4.18,47,0,1712,2.2648
S17,P010,2024-08-09 10:00:00,16.82,0.23,96295,0.0391,9.3,103,1,3765,2.2309
S15,P015,2024-08-09 11:00:00,16.14,0.19,37934,0.0308,10.32,53,0,1168,1.6112
S25,P004,2024-08-09 12:00:00,17.77,0.24,64000,0.0291,4.79,94,0,1862,1.5977
S4,P012,2024-08-09 13:00:00,8.26,0.25,99179,0.0205,7.49,130,0,2033,1.1667
S2,P005,2024-08-09 14:00:00,18.44,0.25,98034,0.0286,7.35,73,0,2803,1.631
S11,P003,2024-08-09 15:00:00,6.2,0.33,86126,0.0321,9.93,136,0,2764,1.8114
S21,P005,2024-08-09 16:00:00,12.88,0.06,34947,0.0345,4.58,159,0,1205,1.7921
S12,P007,2024-08-09 17:00:00,19.39,0.27,45111,0.03,4.67,20,1,1353,1.595
S24,P011,2024-08-09 18:00:00,17.77,0.16,58218,0.0166,8.39,163,0,966,0.8982
S15,P005,2024-08-09 19:00:00,25.78,0.27,39413,0.0298,10.29,165,0,1174,1.5642
S16,P004,2024-08-09 20:00:00,14.66,0.31,6181,0.0308,6.65,131,0,190,1.3318
S13,P003,2024-08-09 21:00:00,13.59,0.18,103157,0.0392,8.26,128,0,4043,2.2501
S10,P002,2024-08-09 22:00:00,16.86,0.2,104454,0.0054,7.92,71,0,564,0.2995
S10,P010,2024-08-09 23:00:00,25.47,0.15,70486,0.0193,10.03,106,1,1360,1.0647
S21,P008,2024-08-10 00:00:00,12.99,0.19,91033,0.0074,9.33,156,0,673,0.41
S2,P002,2024-08-10 01:00:00,24.48,0.32,25427,0.0444,8.77,102,0,1128,2.2394
S21,P014,2024-08-10 02:00:00,7.54,0.11,101144,0.0304,7.4,139,0,3074,1.7392
S15,P005,2024-08-10 03:00:00,23.65,0.12,79654,0.0065,5.43,36,0,517,0.3543
S2,P001,2024-08-10 04:00:00,7.87,0.1,66071,0.0113,6.11,139,0,746,0.6146
S15,P002,2024-08-10 05:00:00,24.29,0.2,42777,0.0442,8.84,120,0,1890,2.3442
S23,P005,2024-08-10 06:00:00,27.52,0.16,68377,0.0347,7.37,145,0,2372,1.919
S13,P011,2024-08-10 07:00:00,18.9,0.16,66110,0.0034,6.6,45,0,224,0.1762
S5,P001,2024-08-10 08:00:00,26.17,0.06,32548,0.0058,8.34,158,0,188,0.2888
S11,P004,2024-08-10 09:00:00,23.63,0.18,23863,0.0352,5.58,20,0,839,1.7616
S17,P008,2024-08-10 10:00:00,21.79,0.18,59236,0.0365,5.73,28,0,2162,1.993
S23,P004,2024-08-10 11:00:00,13.0,0.23,92819,0.0145,7.12,35,0,1345,0.8168
S8,P011,2024-08-10 12:00:00,20.32,0.23,83723,0.0428,6.57,128,0,3583,2.4132
S20,P007,2024-08-10 13:00:00,29.0,0.24,34514,0.0073,7.84,137,0,251,0.3689
S8,P001,2024-08-10 14:00:00,11.41,0.25,88255,0.0372,6.74,173,0,3283,2.1057
S17,P014,2024-08-10 15:00:00,20.24,0.23,118935,0.0413,6.91,177,0,4912,2.4007
S25,P003,2024-08-10 16:00:00,6.42,0.23,82683,0.0271,9.92,154,1,2240,1.5217
S19,P002,2024-08-10 17:00:00,21.1,0.18,63033,0.0085,5.23,91,0,535,0.4572
S21,P011,2024-08-10 18:00:00,10.03,0.18,115891,0.0198,5.15,91,0,2294,1.1419
S5,P002,2024-08-10 19:00:00,20.46,0.06,88176,0.0435,7.36,110,0,3835,2.4642
S8,P003,2024-08-10 20:00:00,6.16,0.12,81909,0.0165,4.73,48,0,1351,0.9209
S15,P014,2024-08-10 21:00:00,28.64,0.29,33896,0.0336,5.8,103,0,1138,1.7399
S12,P005,2024-08-10 22:00:00,23.67,0.28,21025,0.0347,3.78,27,0,729,1.7144
S13,P009,2024-08-10 23:00:00,20.82,0.34,85893,0.0432,3.69,74,0,3710,2.4414
S17,P008,2024-08-11 00:00:00,15.69,0.31,7414,0.0403,6.51,122,0,298,1.7831
S21,P009,2024-08-11 01:00:00,23.46,0.32,59648,0.0158,5.99,25,0,942,0.8562
S22,P007,2024-08-11 02:00:00,28.73,0.05,93518,0.0394,5.04,18,0,3684,2.2423
S17,P004,2024-08-11 03:00:00,18.21,0.34,69664,0.0088,8.69,53,1,613,0.4782
S1,P009,2024-08-11 04:00:00,12.25,0.26,33709,0.0372,9.87,80,0,1253,1.9266
S4,P005,2024-08-11 05:00:00,18.31,0.3,51241,0.0284,4.34,119,0,1455,1.5274
S13,P009,2024-08-11 06:00:00,16.77,0.31,26513,0.0293,3.93,136,0,776,1.4797
S11,P011,2024-08-11 07:00:00,20.39,0.14,40366,0.0116,10.04,132,0,468,0.6026
S10,P008,2024-08-11 08:00:00,8.92,0.23,33680,0.0273,10.02,95,0,919,1.4105
S1,P009,2024-08-11 09:00:00,16.34,0.1,9885,0.017,7.68,20,0,168,0.7694
S11,P012,2024-08-11 10:00:00,13.76,0.14,26514,0.0299,6.84,176,0,792,1.5102
S8,P012,2024-08-11 11:00:00,18.81,0.17,8614,0.0282,5.28,174,1,242,1.2651
S19,P006,2024-08-11 12:00:00,27.53,0.3,35829,0.0173,9.06,25,0,619,0.8946
S4,P010,2024-08-11 13:00:00,27.31,0.11,63176,0.0357,8.23,133,0,2255,1.9606
S10,P007,2024-08-11 14:00:00,29.56,0.31,59760,0.0274,4.42,87,1,1637,1.4942
S5,P013,2024-08-11 15:00:00,24.64,0.24,72195,0.0101,7.73,104,0,729,0.5524
S14,P015,2024-08-11 16:00:00,11.2,0.21,41504,0.0418,8.03,66,0,1734,2.2099
S16,P012,2024-08-11 17:00:00,25.02,0.13,35607,0.0289,9.84,81,0,1029,1.5019
S16,P015,2024-08-11 18:00:00,16.15,0.21,81018,0.0135,7.35,53,0,1093,0.7504
S20,P011,2024-08-11 19:00:00,23.54,0.32,68827,0.008,6.79,47,0,550,0.4331
S12,P009,2024-08-11 20:00:00,20.57,0.1,113929,0.0106,9.23,36,0,1207,0.6046
S21,P005,2024-08-11 21:00:00,19.58,0.17,73993,0.0447,9.52,142,0,3307,2.4933
S23,P009,2024-08-11 22:00:00,17.62,0.16,26682,0.0223,10.17,132,0,595,1.1239
S1,P010,2024-08-11 23:00:00,15.17,0.16,97229,0.0206,8.1,134,0,2002,1.1704
S21,P013,2024-08-12 00:00:00,16.34,0.31,81348,0.0113,8.63,77,1,919,0.6263
S6,P002,2024-08-12 01:00:00,18.72,0.12,114644,0.0365,4.01,128,0,4184,2.1135
S14,P012,2024-08-12 02:00:00,24.05,0.1,100684,0.012,7.66,150,0,1208,0.6787
S3,P011,2024-08-12 03:00:00,19.93,0.16,48842,0.0226,4.26,136,0,1103,1.2075
S25,P003,2024-08-12 04:00:00,17.21,0.33,84262,0.0205,6.19,176,1,1727,1.15
S14,P001,2024-08-12 05:00:00,9.5,0.25,109215,0.0205,4.03,137,0,2238,1.1766
S1,P012,2024-08-12 06:00:00,6.93,0.06,76434,0.0375,8.79,62,0,2866,2.0958
S5,P015,2024-08-12 07:00:00,17.72,0.26,78180,0.02,4.72,40,0,1563,1.1142
S19,P003,2024-08-12 08:00:00,7.27,0.31,45420,0.0353,4.25,25,0,1603,1.8802
S11,P006,2024-08-12 09:00:00,10.5,0.33,97146,0.0138,4.5,171,0,1340,0.7799
S23,P002,2024-08-12 10:00:00,22.08,0.23,11936,0.0396,5.94,61,1,472,1.8462
